                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.89103,                 1.7186,                 1.0076,                0.91226,                0.14291,                0.31222,                0.24854,                0.97218,                 3.4186,                 1.1051,             0.00041013,             0.00041013,             0.00041013
                     26,                0.80629,                 1.6933,                 1.0151,                0.91187,                0.14437,                0.33936,                0.24831,                0.94498,                 3.4267,                 1.1464,             0.00042534,             0.00042534,             0.00042534
                     27,                0.94286,                 1.5769,                 1.0265,                0.88072,                   0.15,                0.34263,                0.25379,                0.92928,                 3.3574,                 1.1546,             0.00044043,             0.00044043,             0.00044043
                     28,                0.73916,                 1.4096,                0.96998,                0.88072,                   0.15,                0.34263,                0.25379,                0.92928,                 3.3574,                 1.1546,              0.0004554,              0.0004554,              0.0004554
                     29,                 0.8605,                 1.5933,                 1.0661,                0.83494,                   0.15,                0.50346,                0.38739,                0.93595,                 3.2417,                 1.1183,             0.00047025,             0.00047025,             0.00047025
                     30,                0.96004,                 1.6524,                  1.047,                0.60681,                   0.15,                0.56024,                0.42002,                0.89791,                 3.1869,                 1.0773,             0.00048499,             0.00048499,             0.00048499
                     31,                0.98849,                 1.5355,                 1.1002,                0.60681,                   0.15,                0.56024,                0.42002,                0.89791,                 3.1869,                 1.0773,              0.0004996,              0.0004996,              0.0004996
                     32,                0.85422,                  1.472,                0.97856,                0.58071,                   0.15,                0.58689,                0.44353,                0.86492,                  3.186,                 1.0537,             0.00051409,             0.00051409,             0.00051409
                     33,                0.84033,                 1.4665,                 1.0206,                  0.671,                0.22644,                0.63887,                0.51397,                0.87138,                 3.0204,                 1.0187,             0.00052846,             0.00052846,             0.00052846
                     34,                0.85713,                 1.3781,                0.99943,                  0.671,                0.22644,                0.63887,                0.51397,                0.87138,                 3.0204,                 1.0187,             0.00054271,             0.00054271,             0.00054271
                     35,                0.81769,                 1.3704,                0.97644,                0.68136,                0.60833,                0.66185,                0.52662,                0.86292,                  2.753,                0.98605,             0.00055684,             0.00055684,             0.00055684
                     36,                0.76034,                 1.3963,                 0.9961,                0.64857,                0.48333,                0.69838,                0.54521,                0.90451,                 2.5046,                0.99148,             0.00057085,             0.00057085,             0.00057085
                     37,                 0.8998,                 1.3488,                 1.0237,                0.64857,                0.48333,                0.69838,                0.54521,                0.90451,                 2.5046,                0.99148,             0.00058474,             0.00058474,             0.00058474
                     38,                0.85943,                 1.6566,                 1.1351,                0.61644,                0.53788,                 0.7013,                0.55007,                0.91719,                 2.4245,                 1.0181,             0.00059851,             0.00059851,             0.00059851
                     39,                0.92467,                 1.6119,                 1.1665,                0.59717,                0.75777,                0.73048,                0.57571,                0.97322,                 2.3053,                  1.053,             0.00061216,             0.00061216,             0.00061216
                     40,                0.89716,                 1.4654,                 1.0246,                0.59717,                0.75777,                0.73048,                0.57571,                0.97322,                 2.3053,                  1.053,             0.00062569,             0.00062569,             0.00062569
                     41,                0.79764,                 1.3617,                0.95104,                0.67265,                 0.8257,                 0.7719,                0.58632,                 1.0055,                 2.2102,                 1.0557,              0.0006391,              0.0006391,              0.0006391
                     42,                0.91289,                 1.3697,                 1.0228,                0.64312,                 0.8236,                0.78778,                0.60104,                 1.0096,                 2.2258,                 1.0479,             0.00065239,             0.00065239,             0.00065239
                     43,                0.79485,                 1.2951,                 1.0049,                0.64312,                 0.8236,                0.78778,                0.60104,                 1.0096,                 2.2258,                 1.0479,             0.00066556,             0.00066556,             0.00066556
                     44,                0.78988,                 1.2388,                0.98244,                0.75714,                0.73621,                0.80196,                0.62909,                0.96377,                 2.2253,                0.99299,             0.00067861,             0.00067861,             0.00067861
                     45,                0.84542,                 1.4073,                0.97959,                0.75714,                0.73621,                0.80196,                0.62909,                0.96377,                 2.2253,                0.99299,             0.00069154,             0.00069154,             0.00069154
                     46,                0.78575,                 1.3817,                0.98166,                0.61401,                0.78769,                0.83093,                0.64342,                0.97175,                 2.1588,                0.98016,             0.00070435,             0.00070435,             0.00070435
                     47,                0.78093,                 1.3066,                0.94894,                0.61401,                0.78769,                0.83093,                0.64342,                0.97175,                 2.1588,                0.98016,             0.00071704,             0.00071704,             0.00071704
                     48,                0.79152,                  1.328,                0.97695,                0.64925,                0.69556,                0.83316,                0.64443,                0.95059,                  2.139,                 1.0081,             0.00072961,             0.00072961,             0.00072961
                     49,                0.89409,                 1.4545,                 1.0285,                0.64925,                0.69556,                0.83316,                0.64443,                0.95059,                  2.139,                 1.0081,             0.00074206,             0.00074206,             0.00074206
                     50,                0.82658,                 1.1748,                0.96008,                0.57291,                0.74227,                 0.8051,                0.58554,                0.94429,                  2.162,                 1.0253,             0.00075439,             0.00075439,             0.00075439
                     51,                0.79295,                 1.7284,                0.99173,                0.57291,                0.74227,                 0.8051,                0.58554,                0.94429,                  2.162,                 1.0253,             0.00075902,             0.00075902,             0.00075902
                     52,                0.83546,                 1.2642,                0.96379,                0.65283,                0.75271,                0.81313,                 0.6087,                0.97886,                 2.2531,                 1.0245,             0.00075602,             0.00075602,             0.00075602
                     53,                0.80831,                 1.1872,                 1.0168,                0.65283,                0.75271,                0.81313,                 0.6087,                0.97886,                 2.2531,                 1.0245,             0.00075302,             0.00075302,             0.00075302
                     54,                0.84114,                 1.4748,                 1.0005,                0.64038,                0.77885,                0.81841,                0.62901,                0.97343,                 2.2058,                 1.0079,             0.00075002,             0.00075002,             0.00075002
                     55,                0.72769,                 1.0486,                0.95035,                0.64038,                0.77885,                0.81841,                0.62901,                0.97343,                 2.2058,                 1.0079,             0.00074702,             0.00074702,             0.00074702
                     56,                0.82077,                 1.1746,                0.94558,                0.59816,                0.75941,                0.82126,                 0.6234,                0.94504,                 2.1348,                0.99405,             0.00074402,             0.00074402,             0.00074402
                     57,                0.73584,                 1.1531,                0.95138,                0.59816,                0.75941,                0.82126,                 0.6234,                0.94504,                 2.1348,                0.99405,             0.00074102,             0.00074102,             0.00074102
                     58,                0.80091,                 1.1838,                 1.0113,                0.58134,                0.75425,                0.79611,                0.60197,                0.92187,                 2.1543,                0.99091,             0.00073802,             0.00073802,             0.00073802
                     59,                0.77302,                 1.0654,                 0.9628,                0.58134,                0.75425,                0.79611,                0.60197,                0.92187,                 2.1543,                0.99091,             0.00073502,             0.00073502,             0.00073502
                     60,                0.86847,                 1.2021,                0.96581,                0.65879,                0.72169,                0.78907,                0.59474,                0.91371,                 2.1137,                0.97865,             0.00073202,             0.00073202,             0.00073202
                     61,                 0.7587,                 1.1896,                0.96768,                0.65879,                0.72169,                0.78907,                0.59474,                0.91371,                 2.1137,                0.97865,             0.00072902,             0.00072902,             0.00072902
                     62,                0.75554,                 1.0311,                0.96953,                0.57652,                0.82586,                0.80829,                0.61229,                0.87001,                 2.0544,                0.97313,             0.00072602,             0.00072602,             0.00072602
                     63,                0.82032,                 1.0802,                0.98269,                0.57652,                0.82586,                0.80829,                0.61229,                0.87001,                 2.0544,                0.97313,             0.00072302,             0.00072302,             0.00072302
                     64,                0.86839,                 1.2121,                 1.0325,                0.62841,                0.60833,                0.80269,                0.62887,                0.87444,                 2.1103,                0.98603,             0.00072002,             0.00072002,             0.00072002
                     65,                0.71114,                  0.997,                 0.9386,                0.62841,                0.60833,                0.80269,                0.62887,                0.87444,                 2.1103,                0.98603,             0.00071702,             0.00071702,             0.00071702
                     66,                0.75235,                 1.0314,                0.95116,                0.52251,                0.77414,                0.81315,                0.65785,                 0.8813,                 2.0356,                 1.0326,             0.00071402,             0.00071402,             0.00071402
                     67,                0.73844,                 1.0781,                0.91938,                0.52251,                0.77414,                0.81315,                0.65785,                 0.8813,                 2.0356,                 1.0326,             0.00071102,             0.00071102,             0.00071102
                     68,                0.71991,                 1.0669,                0.93113,                0.75127,                0.65772,                0.86693,                0.70877,                0.79591,                 1.8534,                 0.9888,             0.00070802,             0.00070802,             0.00070802
                     69,                0.77391,                 1.1478,                0.98244,                0.75127,                0.65772,                0.86693,                0.70877,                0.79591,                 1.8534,                 0.9888,             0.00070502,             0.00070502,             0.00070502
                     70,                0.88861,                 1.0796,                0.99506,                0.76439,                0.70368,                0.88961,                0.72408,                0.74388,                 1.7215,                0.94633,             0.00070202,             0.00070202,             0.00070202
                     71,                0.73761,                0.99566,                0.93234,                0.76439,                0.70368,                0.88961,                0.72408,                0.74388,                 1.7215,                0.94633,             0.00069902,             0.00069902,             0.00069902
                     72,                0.73202,                 1.0018,                0.92426,                0.77646,                0.71526,                0.88046,                0.72523,                0.74967,                 1.6585,                 0.9582,             0.00069602,             0.00069602,             0.00069602
                     73,                0.85854,                 1.1272,                 1.0085,                0.77646,                0.71526,                0.88046,                0.72523,                0.74967,                 1.6585,                 0.9582,             0.00069302,             0.00069302,             0.00069302
                     74,                0.71356,                0.99448,                0.91848,                0.77494,                0.66554,                0.88263,                0.71081,                0.78109,                 1.6914,                  1.012,             0.00069002,             0.00069002,             0.00069002
                     75,                0.79303,                 1.2848,                  1.014,                0.77494,                0.66554,                0.88263,                0.71081,                0.78109,                 1.6914,                  1.012,             0.00068702,             0.00068702,             0.00068702
                     76,                0.69744,                0.96343,                0.93328,                0.66926,                0.69641,                0.87958,                0.70381,                0.79615,                 1.8731,                 1.0306,             0.00068402,             0.00068402,             0.00068402
                     77,                0.74416,                0.93581,                 0.9363,                0.66926,                0.69641,                0.87958,                0.70381,                0.79615,                 1.8731,                 1.0306,             0.00068102,             0.00068102,             0.00068102
                     78,                0.67615,                0.92817,                0.93214,                0.58599,                0.63333,                0.81956,                0.58401,                0.78481,                 2.0333,                 1.0181,             0.00067802,             0.00067802,             0.00067802
                     79,                0.72404,                0.96102,                0.96233,                0.58599,                0.63333,                0.81956,                0.58401,                0.78481,                 2.0333,                 1.0181,             0.00067502,             0.00067502,             0.00067502
                     80,                0.67865,                0.97096,                0.92846,                0.54212,                0.63333,                0.75979,                0.55343,                0.78869,                 2.0428,                 1.0037,             0.00067202,             0.00067202,             0.00067202
                     81,                0.71541,                 1.0601,                0.97151,                0.54212,                0.63333,                0.75979,                0.55343,                0.78869,                 2.0428,                 1.0037,             0.00066902,             0.00066902,             0.00066902
                     82,                0.64274,                0.90462,                0.93353,                0.63045,                0.60403,                 0.7556,                0.56287,                0.82132,                 2.1045,                 1.0049,             0.00066602,             0.00066602,             0.00066602
                     83,                0.69285,                0.89943,                0.93348,                0.63045,                0.60403,                 0.7556,                0.56287,                0.82132,                 2.1045,                 1.0049,             0.00066302,             0.00066302,             0.00066302
                     84,                0.76055,                  1.039,                0.96601,                0.55311,                0.85833,                0.74824,                 0.5982,                0.82698,                 2.1294,                0.97992,             0.00066002,             0.00066002,             0.00066002
                     85,                0.64132,                0.88296,                0.90231,                0.55311,                0.85833,                0.74824,                 0.5982,                0.82698,                 2.1294,                0.97992,             0.00065703,             0.00065703,             0.00065703
                     86,                0.68558,                0.95613,                0.92952,                0.56729,                0.91307,                 0.7792,                0.60191,                0.80389,                 1.9347,                0.96566,             0.00065403,             0.00065403,             0.00065403
                     87,                0.70738,                 1.0652,                 0.9132,                0.56729,                0.91307,                 0.7792,                0.60191,                0.80389,                 1.9347,                0.96566,             0.00065103,             0.00065103,             0.00065103
                     88,                0.66521,                0.87674,                0.93333,                0.59407,                0.93333,                0.78402,                0.60938,                0.82334,                 1.7637,                0.95958,             0.00064803,             0.00064803,             0.00064803
                     89,                0.61458,                0.84531,                0.88768,                0.59407,                0.93333,                0.78402,                0.60938,                0.82334,                 1.7637,                0.95958,             0.00064503,             0.00064503,             0.00064503
                     90,                 0.7742,                 1.2474,                0.97377,                0.57002,                0.93333,                 0.8005,                0.59817,                0.86443,                 1.6524,                0.97491,             0.00064203,             0.00064203,             0.00064203
                     91,                0.66582,                0.85389,                0.93766,                0.57002,                0.93333,                 0.8005,                0.59817,                0.86443,                 1.6524,                0.97491,             0.00063903,             0.00063903,             0.00063903
                     92,                0.63204,                0.87995,                0.89551,                 0.5616,                0.91017,                0.80305,                0.59618,                0.87811,                 1.6983,                0.95862,             0.00063603,             0.00063603,             0.00063603
                     93,                 0.6937,                0.95385,                0.93139,                 0.5616,                0.91017,                0.80305,                0.59618,                0.87811,                 1.6983,                0.95862,             0.00063303,             0.00063303,             0.00063303
                     94,                0.67763,                0.87659,                0.94687,                0.63385,                0.89271,                0.81116,                0.64385,                0.86594,                 1.7055,                0.95746,             0.00063003,             0.00063003,             0.00063003
                     95,                0.68607,                0.97575,                0.94576,                0.63385,                0.89271,                0.81116,                0.64385,                0.86594,                 1.7055,                0.95746,             0.00062703,             0.00062703,             0.00062703
                     96,                0.78531,                0.96777,                0.99787,                0.68407,                0.86605,                0.83023,                0.69785,                0.84371,                 1.5854,                0.97281,             0.00062403,             0.00062403,             0.00062403
                     97,                0.67796,                0.95317,                0.93605,                0.68407,                0.86605,                0.83023,                0.69785,                0.84371,                 1.5854,                0.97281,             0.00062103,             0.00062103,             0.00062103
                     98,                0.66025,                0.89935,                0.93084,                0.70799,                0.78276,                 0.8347,                0.68569,                0.77795,                 1.4803,                0.96456,             0.00061803,             0.00061803,             0.00061803
                     99,                0.70969,                0.93282,                0.95502,                0.70799,                0.78276,                 0.8347,                0.68569,                0.77795,                 1.4803,                0.96456,             0.00061503,             0.00061503,             0.00061503
                    100,                0.60685,                 0.7916,                0.91589,                0.73962,                0.83262,                0.82828,                0.67203,                0.76786,                 1.4735,                0.99516,             0.00061203,             0.00061203,             0.00061203
                    101,                0.68994,                0.94477,                0.93487,                0.73962,                0.83262,                0.82828,                0.67203,                0.76786,                 1.4735,                0.99516,             0.00060903,             0.00060903,             0.00060903
                    102,                0.63028,                0.82047,                0.90789,                0.71939,                0.83199,                0.82096,                0.65493,                0.84606,                 1.5162,                  1.061,             0.00060603,             0.00060603,             0.00060603
                    103,                0.71139,                 1.0828,                  0.937,                0.71939,                0.83199,                0.82096,                0.65493,                0.84606,                 1.5162,                  1.061,             0.00060303,             0.00060303,             0.00060303
                    104,                0.63984,                0.96126,                0.90069,                0.68007,                0.84159,                0.80301,                0.64023,                0.85528,                  1.585,                 1.0707,             0.00060003,             0.00060003,             0.00060003
                    105,                0.64202,                0.91342,                 0.9372,                0.68007,                0.84159,                0.80301,                0.64023,                0.85528,                  1.585,                 1.0707,             0.00059703,             0.00059703,             0.00059703
                    106,                0.76677,                   1.05,                0.99729,                0.65651,                0.80996,                0.78799,                0.63435,                0.87131,                  1.615,                 1.0492,             0.00059403,             0.00059403,             0.00059403
                    107,                0.65476,                0.81749,                0.88868,                0.65651,                0.80996,                0.78799,                0.63435,                0.87131,                  1.615,                 1.0492,             0.00059103,             0.00059103,             0.00059103
                    108,                0.63741,                0.84076,                  0.904,                0.65555,                0.76041,                0.78884,                 0.6294,                0.86489,                 1.5875,                 1.0208,             0.00058803,             0.00058803,             0.00058803
                    109,                0.72473,                0.86182,                0.97693,                0.65555,                0.76041,                0.78884,                 0.6294,                0.86489,                 1.5875,                 1.0208,             0.00058503,             0.00058503,             0.00058503
                    110,                0.65555,                0.86045,                0.90512,                 0.6819,                0.75833,                 0.7806,                0.61799,                0.84914,                 1.5162,                 1.0096,             0.00058203,             0.00058203,             0.00058203
                    111,                0.67445,                 0.8548,                0.90714,                 0.6819,                0.75833,                 0.7806,                0.61799,                0.84914,                 1.5162,                 1.0096,             0.00057903,             0.00057903,             0.00057903
                    112,                0.58645,                  0.751,                0.90318,                0.75214,                0.75833,                0.79922,                0.62772,                0.85416,                 1.4326,                 1.0482,             0.00057603,             0.00057603,             0.00057603
                    113,                0.69691,                0.83361,                0.93466,                0.75214,                0.75833,                0.79922,                0.62772,                0.85416,                 1.4326,                 1.0482,             0.00057303,             0.00057303,             0.00057303
                    114,                0.53448,                0.70163,                0.87484,                0.84881,                0.72826,                0.80765,                0.64472,                0.86122,                 1.4537,                 1.0664,             0.00057003,             0.00057003,             0.00057003
                    115,                0.56837,                0.77644,                0.89389,                0.84881,                0.72826,                0.80765,                0.64472,                0.86122,                 1.4537,                 1.0664,             0.00056703,             0.00056703,             0.00056703
                    116,                0.70716,                 1.0802,                0.94148,                0.67943,                0.76583,                0.79599,                 0.6424,                0.87375,                  1.536,                 1.0704,             0.00056403,             0.00056403,             0.00056403
                    117,                0.62857,                0.82194,                0.91262,                0.67943,                0.76583,                0.79599,                 0.6424,                0.87375,                  1.536,                 1.0704,             0.00056103,             0.00056103,             0.00056103
                    118,                0.58929,                0.76801,                0.89046,                0.61541,                 0.7781,                0.79254,                0.64594,                0.86995,                 1.6344,                 1.0642,             0.00055804,             0.00055804,             0.00055804
                    119,                0.62646,                0.81635,                0.94811,                0.61541,                 0.7781,                0.79254,                0.64594,                0.86995,                 1.6344,                 1.0642,             0.00055504,             0.00055504,             0.00055504
                    120,                0.55829,                0.77414,                0.88601,                 0.5515,                0.76556,                0.79288,                0.63993,                0.85433,                  1.706,                 1.0685,             0.00055204,             0.00055204,             0.00055204
                    121,                0.60268,                0.82543,                0.89201,                 0.5515,                0.76556,                0.79288,                0.63993,                0.85433,                  1.706,                 1.0685,             0.00054904,             0.00054904,             0.00054904
                    122,                 0.6235,                0.85361,                0.91229,                0.51297,                0.75833,                0.80133,                0.63397,                0.83234,                 1.7144,                 1.0443,             0.00054604,             0.00054604,             0.00054604
                    123,                0.58845,                0.78935,                0.91675,                0.51297,                0.75833,                0.80133,                0.63397,                0.83234,                 1.7144,                 1.0443,             0.00054304,             0.00054304,             0.00054304
                    124,                0.75676,                0.85304,                0.93525,                0.65254,                0.83547,                 0.8204,                 0.6403,                 0.8046,                 1.6616,                 1.0311,             0.00054004,             0.00054004,             0.00054004
                    125,                0.69696,                0.88027,                0.91476,                0.65254,                0.83547,                 0.8204,                 0.6403,                 0.8046,                 1.6616,                 1.0311,             0.00053704,             0.00053704,             0.00053704
                    126,                0.62205,                0.83232,                0.94928,                0.67569,                0.82616,                0.76781,                0.59793,                0.84506,                 1.6193,                 1.0427,             0.00053404,             0.00053404,             0.00053404
                    127,                0.67891,                0.78989,                0.92566,                0.67569,                0.82616,                0.76781,                0.59793,                0.84506,                 1.6193,                 1.0427,             0.00053104,             0.00053104,             0.00053104
                    128,                0.63256,                0.84924,                0.94696,                0.67236,                0.81642,                 0.8376,                 0.6332,                0.89165,                 1.5649,                 1.0365,             0.00052804,             0.00052804,             0.00052804
                    129,                0.57261,                0.92864,                0.93906,                0.67236,                0.81642,                 0.8376,                 0.6332,                0.89165,                 1.5649,                 1.0365,             0.00052504,             0.00052504,             0.00052504
                    130,                0.65743,                0.81475,                0.87126,                 0.7217,                0.72383,                0.79031,                0.61542,                0.91484,                  1.608,                 1.0307,             0.00052204,             0.00052204,             0.00052204
                    131,                0.55511,                0.82608,                0.87425,                 0.7217,                0.72383,                0.79031,                0.61542,                0.91484,                  1.608,                 1.0307,             0.00051904,             0.00051904,             0.00051904
                    132,                0.60736,                0.78548,                0.91055,                0.64873,                0.81541,                0.79366,                0.65036,                0.86529,                 1.5799,                 1.0048,             0.00051604,             0.00051604,             0.00051604
                    133,                0.60064,                0.88342,                0.89812,                0.64873,                0.81541,                0.79366,                0.65036,                0.86529,                 1.5799,                 1.0048,             0.00051304,             0.00051304,             0.00051304
                    134,                0.57343,                0.77484,                0.91856,                0.68308,                0.82258,                0.80939,                0.64306,                0.84811,                 1.5537,                  1.024,             0.00051004,             0.00051004,             0.00051004
                    135,                0.50907,                0.66057,                0.88969,                0.68308,                0.82258,                0.80939,                0.64306,                0.84811,                 1.5537,                  1.024,             0.00050704,             0.00050704,             0.00050704
                    136,                0.54975,                0.80095,                0.90717,                0.71086,                0.81305,                0.80566,                 0.6426,                0.83981,                 1.5427,                 1.0585,             0.00050404,             0.00050404,             0.00050404
                    137,                0.49836,                0.69097,                0.87448,                0.71086,                0.81305,                0.80566,                 0.6426,                0.83981,                 1.5427,                 1.0585,             0.00050104,             0.00050104,             0.00050104
                    138,                0.55131,                0.75129,                0.86357,                 0.7365,                0.80859,                0.79841,                0.62923,                0.82872,                 1.5384,                 1.0681,             0.00049804,             0.00049804,             0.00049804
                    139,                 0.6068,                0.82742,                0.90317,                 0.7365,                0.80859,                0.79841,                0.62923,                0.82872,                 1.5384,                 1.0681,             0.00049504,             0.00049504,             0.00049504
                    140,                 0.6089,                0.75772,                0.91448,                0.73245,                0.81197,                0.79515,                 0.6462,                0.83334,                 1.6028,                  1.052,             0.00049204,             0.00049204,             0.00049204
                    141,                0.54433,                0.74328,                0.87321,                0.73245,                0.81197,                0.79515,                 0.6462,                0.83334,                 1.6028,                  1.052,             0.00048904,             0.00048904,             0.00048904
                    142,                0.62862,                0.77447,                0.88477,                0.72582,                 0.8174,                0.78964,                0.67037,                  0.814,                 1.6356,                 1.0303,             0.00048604,             0.00048604,             0.00048604
                    143,                0.54446,                0.70388,                0.87646,                0.72582,                 0.8174,                0.78964,                0.67037,                  0.814,                 1.6356,                 1.0303,             0.00048304,             0.00048304,             0.00048304
                    144,                0.63161,                0.72046,                0.90831,                0.71442,                0.81777,                0.78445,                0.65495,                0.81009,                 1.6996,                 1.0049,             0.00048004,             0.00048004,             0.00048004
                    145,                0.49837,                0.72924,                0.89086,                0.71442,                0.81777,                0.78445,                0.65495,                0.81009,                 1.6996,                 1.0049,             0.00047704,             0.00047704,             0.00047704
                    146,                0.55857,                0.72789,                0.89528,                0.71268,                0.81743,                0.79367,                  0.659,                0.79487,                 1.7324,                0.97647,             0.00047404,             0.00047404,             0.00047404
                    147,                0.60961,                0.83112,                0.90819,                0.71268,                0.81743,                0.79367,                  0.659,                0.79487,                 1.7324,                0.97647,             0.00047104,             0.00047104,             0.00047104
                    148,                0.58623,                0.71007,                0.91382,                 0.7032,                0.76612,                0.81253,                0.67882,                0.77013,                 1.7168,                0.96811,             0.00046804,             0.00046804,             0.00046804
                    149,                0.58469,                0.79083,                0.90387,                 0.7032,                0.76612,                0.81253,                0.67882,                0.77013,                 1.7168,                0.96811,             0.00046504,             0.00046504,             0.00046504
                    150,                0.58576,                0.68931,                0.87365,                0.61479,                0.82642,                0.82141,                0.67013,                0.79375,                 1.7433,                 0.9734,             0.00046204,             0.00046204,             0.00046204
                    151,                0.58048,                0.72819,                0.93202,                0.61479,                0.82642,                0.82141,                0.67013,                0.79375,                 1.7433,                 0.9734,             0.00045904,             0.00045904,             0.00045904
                    152,                 0.5968,                0.76339,                0.93277,                0.70516,                0.69086,                0.80792,                0.66145,                0.80905,                 1.7399,                0.97185,             0.00045605,             0.00045605,             0.00045605
                    153,                 0.5754,                0.76859,                0.89769,                0.70516,                0.69086,                0.80792,                0.66145,                0.80905,                 1.7399,                0.97185,             0.00045305,             0.00045305,             0.00045305
                    154,                0.63824,                 0.7813,                0.94807,                0.57663,                0.88344,                0.80821,                0.68147,                0.79794,                 1.7005,                0.95817,             0.00045005,             0.00045005,             0.00045005
                    155,                0.56752,                0.67033,                0.90266,                0.57663,                0.88344,                0.80821,                0.68147,                0.79794,                 1.7005,                0.95817,             0.00044705,             0.00044705,             0.00044705
                    156,                0.55701,                0.72871,                0.88748,                0.67607,                0.75272,                0.80453,                 0.6907,                0.78658,                 1.6558,                0.96753,             0.00044405,             0.00044405,             0.00044405
